horizontal 4
vertical 24
length 96
loops 1
framedelay 0 2
framedelay 1 2
framedelay 2 2
framedelay 3 2
framedelay 4 2
framedelay 5 2
framedelay 6 2
framedelay 7 2
framedelay 8 2
framedelay 9 2
framedelay 10 2
framedelay 11 2
framedelay 12 2
framedelay 13 2
framedelay 14 2
framedelay 15 2
framedelay 16 2
framedelay 17 2
framedelay 18 2
framedelay 19 2
framedelay 20 2
framedelay 21 2
framedelay 22 2
framedelay 23 2
framedelay 24 2
framedelay 25 2
framedelay 26 2
framedelay 27 2
framedelay 28 2
framedelay 29 2
framedelay 30 2
framedelay 31 2
framedelay 32 2
framedelay 33 2
framedelay 34 2
framedelay 35 2
framedelay 36 2
framedelay 37 2
framedelay 38 2
framedelay 39 2
framedelay 40 2
framedelay 41 2
framedelay 42 2
framedelay 43 2
framedelay 44 2
framedelay 45 2
framedelay 46 2
framedelay 47 2
framedelay 48 2
framedelay 49 2
framedelay 50 2
framedelay 51 2
framedelay 52 2
framedelay 53 2
framedelay 54 2
framedelay 55 2
framedelay 56 2
framedelay 57 2
framedelay 58 2
framedelay 59 2
framedelay 60 2
framedelay 61 2
framedelay 62 2
framedelay 63 2
framedelay 64 2
framedelay 65 2
framedelay 66 2
framedelay 67 2
framedelay 68 2
framedelay 69 2
framedelay 70 2
framedelay 71 2
framedelay 72 2
framedelay 73 2
framedelay 74 2
framedelay 75 2
framedelay 76 2
framedelay 77 2
framedelay 78 2
framedelay 79 2
framedelay 80 2
framedelay 81 2
framedelay 82 2
framedelay 83 2
framedelay 84 2
framedelay 85 2
framedelay 86 2
framedelay 87 2
framedelay 88 2
framedelay 89 2
framedelay 90 2
framedelay 91 2
framedelay 92 2
framedelay 93 2
framedelay 94 2
framedelay 95 2
