horizontal 4
vertical 37
length 145
loops 1
framedelay 0 1
framedelay 1 2
framedelay 2 1
framedelay 3 1
framedelay 4 2
framedelay 5 1
framedelay 6 1
framedelay 7 2
framedelay 8 1
framedelay 9 1
framedelay 10 2
framedelay 11 1
framedelay 12 1
framedelay 13 2
framedelay 14 1
framedelay 15 1
framedelay 16 2
framedelay 17 1
framedelay 18 1
framedelay 19 2
framedelay 20 1
framedelay 21 1
framedelay 22 2
framedelay 23 1
framedelay 24 1
framedelay 25 2
framedelay 26 1
framedelay 27 1
framedelay 28 2
framedelay 29 1
framedelay 30 1
framedelay 31 2
framedelay 32 1
framedelay 33 1
framedelay 34 2
framedelay 35 1
framedelay 36 1
framedelay 37 2
framedelay 38 1
framedelay 39 1
framedelay 40 2
framedelay 41 1
framedelay 42 1
framedelay 43 2
framedelay 44 1
framedelay 45 1
framedelay 46 2
framedelay 47 1
framedelay 48 1
framedelay 49 2
framedelay 50 1
framedelay 51 1
framedelay 52 2
framedelay 53 1
framedelay 54 1
framedelay 55 2
framedelay 56 1
framedelay 57 1
framedelay 58 2
framedelay 59 1
framedelay 60 1
framedelay 61 2
framedelay 62 1
framedelay 63 1
framedelay 64 2
framedelay 65 1
framedelay 66 1
framedelay 67 2
framedelay 68 1
framedelay 69 13
framedelay 70 2
framedelay 71 1
framedelay 72 1
framedelay 73 2
framedelay 74 1
framedelay 75 1
framedelay 76 2
framedelay 77 1
framedelay 78 1
framedelay 79 2
framedelay 80 1
framedelay 81 1
framedelay 82 2
framedelay 83 1
framedelay 84 1
framedelay 85 2
framedelay 86 1
framedelay 87 1
framedelay 88 2
framedelay 89 1
framedelay 90 1
framedelay 91 2
framedelay 92 1
framedelay 93 1
framedelay 94 2
framedelay 95 1
framedelay 96 1
framedelay 97 2
framedelay 98 1
framedelay 99 1
framedelay 100 2
framedelay 101 1
framedelay 102 1
framedelay 103 2
framedelay 104 1
framedelay 105 1
framedelay 106 2
framedelay 107 1
framedelay 108 1
framedelay 109 2
framedelay 110 1
framedelay 111 1
framedelay 112 2
framedelay 113 1
framedelay 114 1
framedelay 115 2
framedelay 116 1
framedelay 117 1
framedelay 118 2
framedelay 119 1
framedelay 120 1
framedelay 121 2
framedelay 122 1
framedelay 123 1
framedelay 124 2
framedelay 125 1
framedelay 126 1
framedelay 127 2
framedelay 128 1
framedelay 129 1
framedelay 130 2
framedelay 131 1
framedelay 132 1
framedelay 133 2
framedelay 134 1
framedelay 135 1
framedelay 136 2
framedelay 137 1
framedelay 138 1
framedelay 139 2
framedelay 140 1
framedelay 141 1
framedelay 142 2
framedelay 143 1
framedelay 144 1
